crate	file	test_name	kind	authorizing_ruling	rung	hd_receipt
simthing-driver	crates/simthing-driver/tests/order_weight_class_0.rs	order_weight_negative_admission_spans	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/order_weight_class_0.rs	order_weight_authored_ron_class_less_span_provenance	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/order_weight_class_0.rs	install_rejects_class_less_dominant_player_overlay	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/order_weight_class_0.rs	destination_order_dominates_via_player_weight_overlay_on_live_gpu	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/order_weight_class_0.rs	raw_public_sender_cannot_bypass_canonical_player_drain_gate	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	unobserved_fixture_locus_gets_no_row	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	rising_multi_edge_and_no_crossing_match_oracle	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	remap_preserves_identity_across_slot_move	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	gpu_pod_round_trip_preserves_none_vs_some_zero_generation	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	wire_replay_delta_entries_do_not_carry_anchor_table	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	tree_with_mixed_disposition_table_cardinality_matches_anchored_only	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	hosted_observation_follows_gpu_not_transient_cpu	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	studio_bridge_field_accretion_reads_gpu_authority	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	gpu_crossing_matrix_bit_agrees_with_oracle	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	successive_dispatch_generations_including_zero_are_exact	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	gpu_remap_post_sync_value_authority_with_and_without_threshold_session	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	boundary_protocol_structural_remap_value_authority	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/anchor_table_surface_0.rs	canonical_tp_gpu_table_matches_admission_totality	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
scripts-ci	scripts/ci/fixtures/known_bad/overlay_peer_authority.rs	overlay_peer_authority.rs	fixture	5365284584-DA	DOCTRINE-CI-RECONCILE-0	0d23f7c92251
simthing-driver	crates/simthing-driver/tests/canonical_anchor_materialization_0.rs	candidate_evidence_census_before_implementation	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/canonical_anchor_materialization_0.rs	ordinary_install_proves_admission_totality	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/canonical_anchor_materialization_0.rs	materialization_preserves_existing_economy_values	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-driver	crates/simthing-driver/tests/canonical_anchor_materialization_0.rs	unobserved_disposition_reasons_name_phase_8	integration	5133877275-DA	TP-PURGE-0	3555f6da869e
simthing-clausething	crates/simthing-clausething/tests/tp_base_embed_0.rs	base_ids_are_namespaced_into_overlay_location_targets	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_base_embed_0.rs	combined_clause_parses_with_embedded_static_galaxy_scenario	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_base_embed_0.rs	duplicate_namespaced_base_ids_hard_error_with_span	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_base_embed_0.rs	embedded_base_lattice_round_trips_identical_to_canonical_artifact	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_base_embed_0.rs	producer_provenance_remains_separate_from_overlay_runtime_owner	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
